title,date,SN,excerpt,author,abstract_zh,abstract_en,field
一种数据处理方法、设备及计算机存储介质,2019-9-26,201910919372.7,使用生产装置不同的传感数据，构建多视图特征，使用一个视图建构的AI模型预测值与真实值之间的残差，再用另一个视图特征构建AI模型去拟合。,杨帆 金宝宝 张成松,本发明实施例公开了一种数据处理方法，该方法包括：获取生产系统生产流程对应的多个历史数据采集位置和每一历史数据采集位置对应的运行指标类型；基于所述多个历史数据采集位置和所述每一历史数据采集位置对应的运行指标类型构建第一神经网络模型；从历史数据库中获取历史样本数据；其中，所述历史样本数据包括每一所述运行指标类型对应的采集数据和所述生产系统的产品收率；采用所述历史样本数据对所述第一神经网络模型进行模型训练，得到目标神经网络模型。本发明实施例还提供了一种电子设备和计算机可存储介质。, ,工业智能
一种数据处理方法、装置及电子设备,2019-9-9,201910848176.5,使用机器学习模型描述指标之间的关系，将与机器学习模型差别很大的记录识别为噪声剃除后，再将剩下的数据用于生产预测, 杨帆 金宝宝 张成松,本申请公开了一种数据处理方法、装置及电子设备，方法包括：获得至少一个训练样本，所述训练样本包括至少一个指标的指标数据，所述指标数据包括其所属指标在至少一个时刻下的样本数据，所述训练样本具有预设的收率标签；基于所述样本数据对应的时刻属性和指标属性，对所述训练样本中的样本数据进行去噪；基于经过去噪的训练样本与其具有的收率标签，对初始模型进行训练，得到关系模型，所述关系模型表征所述指标与收率之间的关系。可见，本申请中利用样本数据中的时刻属性和指标属性对样本数据进行去噪，使得用于训练关系模型的样本数据更加准确，由此使得利用这些样本数据所训练出的关系模型更加准确，从而达到提高关系模型准确率的目的。, ,
焦炭质量预测方法、装置及计算机设备,2019-5-16,201910409199.6,根据焦碳生产过程工艺数据，结合机理知识加工、筛选特征，使用机器学习算法预测质量。,杨帆 戴超男 金继民 张成松,提供一种焦炭质量预测方法、装置及计算机设备，方法包括：获取待测煤样的焦炭质量数据；提取焦炭质量数据中的焦炭质量特征；基于第一筛选规则及第二筛选规则，对提取出的焦炭质量特征进行特征筛选，得到目标焦炭质量特征，其中，第一筛选规则基于行业评价标准确定，第二筛选规则基于数据挖掘算法生成；将目标焦炭质量特征输入对应的焦炭质量预测模型，得到待测煤样的焦炭质量指标，焦炭质量预测模型是对样本煤样的目标焦炭质量特征进行训练得到的。在本申请中，通过以上方式可以实现针对性地预测，提高预测结果的准确性。,   ,工业智能
信息处理方法、装置、系统及存储介质,2019-5-8,201910382630.2,基于用户画像、设备数据和行为特征数据，以最小化加权等待时间为优化目标，自动分配呼叫中心客服等待队列。, 杨帆 杨沛 余健伟 张成松,提供了一种信息处理方法，该方法包括：获取等待接待的M个用户的用户特征；获取未接待用户的N个客服的客服特征；根据M个用户的用户特征及N个客服的客服特征，确定N个客服接待M个用户中每个用户的预测时长，得到预测时长集；以及根据预测时长集，确定与N个客服中的至少一个客服匹配的至少一个被接待用户，以使至少一个客服接待匹配的被接待用户的预测时长之和最小，其中，每个客服与匹配的被接待用户一一对应，M与N均为自然数。本公开还提供了一种信息处理装置、一种信息处理系统以及一种计算机可读存储介质。,   ,用户画像与推荐系统
训练收率预测模型的方法和装置,2019-3-25,201910231165.2,使用多任务神经网络，根据炼油装置的可控操作变量，预测各种观测变量和产品收率。,杨帆 金宝宝 金继民 余健伟 张成松,提供了一种训练收率预测模型的方法，包括获得训练数据，所述训练数据包括多个第一指标的数据以及收率的数据，所述多个第一指标包括可控指标和不可控指标，基于所述多个第一指标的数据，从所述不可控指标中确定与任意所述可控指标的相关性大于第一阈值的不可控指标作为第一类不可控指标，以及将其他不可控指标确定为第二类不可控指标，将所述可控指标的数据和所述第二类不可控指标的数据作为输入，将所述收率的数据作为输出，训练所述收率预测模型。本公开还提供了一种训练收率预测模型的装置,   ,工业智能
一种处理方法及电子设备,2019-3-8,201910174531.5,根据用户驾驶习惯和路况特征，精确预测车辆当前能源条件下能行驶的距离。,王耀晖 杨帆 张成松,一种处理方法及电子设备，首先确定电动汽车需要经过的路段中每一个路段的路段类型以及多个电动汽车在该路段类型上行驶时的车辆行驶信息，进而确定特征数据，根据每一个路段的特征数据及能量回归模型或行驶时长回归模型确定预估能耗或预估行驶时长，并进一步确定电动汽车经过其所要经过的全部路段时所需要消耗的全部预估能量。本方案中通过能量回归模型及行驶时长回归模型确定每一路段的预估能耗及预估行驶时长，从而确定全部所需消耗的预估能耗，实现了对电动汽车行驶过程中能耗的预估，从而提醒用户该电动汽车行驶过程中所需要消耗的可能能量，避免了在行驶过程中能量用尽的情况。,"The present invention discloses a processing method and an electronic device. According to the processing method and the electronic device of the invention, the road segment type of each of road sections where electric vehicles need to pass, and the vehicle driving information of the plurality of electric vehicles which is obtained when the electric vehicles drive on the road segment types, are determined, feature data are determined; estimated energy consumption or an estimated driving duration is determined according to the feature data, energy consumption regression model and driving duration regression model of each road segment, and therefore, all required estimated energy consumption can be determined; and therefore, the energy consumption of the electric vehicles during a driving process can be realized, users can be informed of possible energy to be consumed during the driving of the electric vehicles, and a condition that the energy of the electric vehicles is exhausted duringthe driving process can be avoided.",工业智能
一种优化焦炭生产的方法、装置和设备,2019-3-1,201910156054.X,根据焦碳生产过程工艺数据，使用机器学习算法预测质量，并搜索最优质量的工艺指标集。,杨帆 金继民 余健伟 张成松,本发明公开了一种优化焦炭生产的方法、装置和设备。该方法包括：根据历史数据构建焦炭质量预测模型，并对焦炭质量预测模型进行训练，得到第一焦炭质量数据，其中，历史数据包括焦炭生产技术参数数据、配合煤数据和焦炭质量数据；根据第一焦炭质量数据和业务需要确定第一焦炭质量数据中的待优化指标数据；采用优化算法对待优化指标数据进行优化，并根据优化结果得到待优化指标数据的建议值；根据建议值调整焦炭生产技术参数数据或配合煤数据，以提高焦炭质量。本发明充分考虑了实际生产中焦炭生产技术参数和配合煤对焦炭质量的影响，因此，优化了焦炭生产。,"The invention discloses a method, a device and equipment for optimizing coke production. The method comprises the following steps: constructing a coke quality prediction model according to historicaldata, and training the coke quality prediction model to obtain first coke quality data, the historical data comprising coke production technical parameter data, blended coal data and coke quality data; determining to-be-optimized index data in the first coke quality data according to the first coke quality data and business needs; optimizing the to-be-optimized index data by adopting an optimization algorithm, and obtaining a suggested value of the to-be-optimized index data according to an optimization result; and adjusting the coke production technical parameter data or the blended coal dataaccording to the suggested value so as to improve the coke quality. According to the method, the influence of coke production technical parameters and blended coal on the coke quality in actual production is fully considered, so that the coke production is optimized.",工业智能
一种信息处理方法及信息处理装置,2019-3-1,201910156064.3,根据驾驶行为和电池当前状态，预测电池健康度，并提供延长电池使用的优化方案。,王耀晖 罗云生 杨帆 张成松,本发明提供的一种信息处理方法及信息处理装置，所述方法应用于电动汽车，包括：获得驾驶行为的实际参数信息和通过预设算法得到的预期参数信息；基于所述实际参数信息得到所述电动汽车的电池的实际健康值；基于所述预期参数信息得到所述电池的预期健康值；若所述预期健康值大于所述实际健康值；则以预设方式将所述实际参数信息调整为所述预期参数信息，并输出相应的提示信息，能够通过所述提示信息指导用户的驾驶行为，以达到延长电池使用寿命，减少资源浪费，提高电池使用效率的效果。," The invention provides an information processing method and an information processing device, and the method is applied to an electric vehicle, and comprises the steps: obtaining the actual parameterinformation of a driving behavior and the expected parameter information obtained through a preset algorithm; Obtaining an actual health value of a battery of the electric vehicle based on the actualparameter information; Obtaining an expected health value of the battery based on the expected parameter information; If the expected health value is greater than the actual health value, adjusting the actual parameter information to be the expected parameter information in a preset mode, and outputting corresponding prompt information, so the driving behavior of the user can be guided through theprompt information, and therefore the effects of prolonging the service life of the battery, reducing resource waste and improving the use efficiency of the battery are achieved.",工业智能
一种数据处理方法和设备,2019-2-15,201910117769.4,用于实时数据采集的服务器集群构建方案。, 余健伟 王耀晖 杨帆 张成松,本发明实施例公开了一种数据处理方法，所述方法包括：获取待上传数据，并将所述待上传数据转换成多个数据块的采集任务；获取服务器集群中的每个服务器的负载，并基于所述每个服务器的负载给每个服务器分配所述采集任务；其中，所述服务器集群中包括至少两个用于采集所述待上传数据并上传至数据处理平台的服务器。本发明的实施例同时还公开了一种数据处理设备。, ,大数据与系统架构
实体匹配方法、装置及电子设备,2018-12-4,201811475749.6,使用机器学习标注算法结构化解析实体名称，并基于字符相似、行业知识特征进行实体对齐。,杨帆 张成松,本发明公开了一种实体匹配方法、装置及电子设备，该方法包括：获取待匹配的实体名称；从包含多个标准实体名称的标准名称库中，搜索出与实体名称的匹配度较高的多个候选实体名称；确定实体名称与候选实体名称分别在至少一个预设维度上的相似性；综合实体名称与候选实体名称在至少一个预设维度上的相似性，从多个候选实体名称中，确定出与实体名称在至少一个预设维度上的综合相似性最高的候选实体名称；将综合相似性最高的候选实体名称确定为实体名称对应的标准实体名称。本申请的方案可以增大实体名称匹配所适用的情况，提高实体名称匹配的精准度，并减少人力资源消耗。,"The invention discloses an entity matching method and apparatus, and an electronic device. The method comprises the steps of obtaining an entity name to be matched; Searching a plurality of candidateentity names with higher matching degree with the entity names from a standard name library containing a plurality of standard entity names; Determining similarities between the entity names and the candidate entity names in at least one preset dimension; Synthesizing the similarity of the entity names and the candidate entity names in at least one preset dimension, and determining the candidate entity name with the highest comprehensive similarity of the entity name in at least one preset dimension from the plurality of candidate entity names; And determining the candidate entity name with the highest comprehensive similarity as a standard entity name corresponding to the entity name. According to the scheme, the applicable situation of entity name matching can be increased, the accuracyof entity name matching is improved, and manpower resource consumption is reduced.",自然语言处理与知识图谱
实体匹配方法、装置及电子设备,2018-12-4,201811474215.1,使用词向量和深度学习进行实体对齐。,杨帆 张成松,本发明公开了一种实体匹配方法、装置及电子设备，该方法包括：获取待匹配的实体名称；根据该实体名称所包含的字符串，确定用于表征该实体名称所表达的语义的第一编码向量；分别计算该实体名称的第一编码向量与标准名称库中各个标准实体名称的第二编码向量之间的距离；从该标准名称库的多个标准实体名称中，选取出对应的该距离较小的至少一个候选实体名称；根据该实体名称的第一编码向量和该候选实体名称的第二编码向量，确定该候选实体名称与该实体名称在多个预设维度上的特征匹配度；将该特征匹配度符合预设要求的候选实体名称确定为该实体名称对应的标准实体名称。本申请可以提高实体匹配的精准度，并减少人力资源消耗。," The invention discloses an entity matching method and device, and an electronic device. The method comprises the steps of obtaining an entity name to be matched; determining a first coding vector usedfor representing semantics expressed by the entity name according to the character string contained in the entity name; respectively calculating the distance between the first coding vector of the entity name and the second coding vector of each standard entity name in the standard name library; selecting at least one corresponding candidate entity name with a smaller distance from a plurality ofstandard entity names in the standard name library; determining feature matching degrees of the candidate entity names and the entity names in a plurality of preset dimensions according to the firstcoding vectors of the entity names and the second coding vectors of the candidate entity names; and determining the candidate entity names of which the feature matching degrees meet preset requirements as standard entity names corresponding to the entity names. According to the invention, the accuracy of entity matching can be improved, and the manpower resource consumption is reduced.",自然语言处理与知识图谱
预警方法及装置,2018-11-30,201811457374.0,根据生产设备的运行参数，使用机器学习算法预测发生各类异常的概率。,杨帆 金继民 王耀晖 张成松,本发明公开了一种预警方法及装置，获取设备的预定运行参数在最近的预设历史时长内的若干测量值，并提取该若干测量值的多个维度的特征；将所提取的多个维度的特征输入与上述预定运行参数对应的预先训练好的预警模型，得到表征设备的上述预定运行参数在未来是否发生异常预警结果，实现了对设备的预定运行参数在未来是否发生异常的预测。," The embodiment of the invention discloses an early warning method and device. The method comprises the following steps that: obtaining a plurality of measurement values of the preset operation parameters of equipment in latest preset historical duration, and extracting the characteristics of a plurality of dimensions of the plurality of measurement values; and inputting the extracted characteristics of the plurality of dimensions into a pre-trained early warning model corresponding to the above preset operation parameters to obtain an early warning result which represents whether the above preset operation parameters of equipment are exceptional or not. Therefore, whether the preset operation parameters of equipment are exceptional or not in the future is predicted.",工业智能
数据处理方法及其装置,2018-11-22,201811402639.7,根据设备当前状态和运行参数，使用机器学习算法计算其健康程度，并结合历史运行情况预测未来的健康程度。,王耀晖 余健伟 杨帆 张成松,本发明提供了一种数据处理方法，包括：获取目标对象在第一预定时间段内的第一特征信息，其中，特征包括目标对象的环境特征和目标对象的动态特征；训练第一特征信息以获得预测模型，其中，预测模型用于预测目标对象的健康程度；获取目标对象在第二预定时间段内的第二特征信息；以及将第二特征信息输入预测模型以得到目标对象在第二预定时间段内的健康程度。本公开还提供了一种数据处理装置。," The invention provides a data processing method. The method comprises the following steps of acquiring first characteristic information of a target object in a first predetermined time period, whereincharacteristics include an environment characteristic of the target object and a dynamic characteristic of the target object; training the first characteristic information to obtain a prediction model, wherein the prediction model is used for predicting the health degree of the target object; obtaining second characteristic information of the target object in a second predetermined time period; and inputting the second characteristic information into the prediction model to obtain the health degree of the target object in the second predetermined time period. The invention further provides adata processing device.",工业智能
信息处理方法和具有电驱动功能的车辆,2018-11-16,201811367012.2,根据当前车辆位置和能源状态，使用机器学习算法预测到达目的地时的能源状态，消除用户里程焦虑。,王耀晖 葛雨辰 杨帆 张成松,本发明提供了一种信息处理方法，应用于具有电驱动功能的车辆，所述方法包括：获取车辆位置信息、目的地信息以及可行驶里程的关联参数；根据所述车辆位置信息和所述可行驶里程的关联参数确定车辆是否可到达目的地或最近的充电地点；以及在可到达时提示乘员可到达信息。本公开还提供了一种具有电驱动功能的车辆。,"The invention provides an information processing method applied to a vehicle with an electric driving function. The method comprises the steps of acquiring vehicle position information, destination information and associated parameters of driving mileage, determining whether the vehicle can reach a destination or the nearest charging place or not according to the vehicle position information and the associated parameters of the driving mileage, and prompting passengers of reaching information when the vehicle can arrive. The invention further provides the vehicle with the electric driving function.",工业智能
一种数据处理方法及服务器,2018-9-29,201811147486.6,根据句法关系，将自然语言描述的问题进行结构化解析，并转换为图查询语言。,金继民 金宝宝 杨帆 张成松,本发明公开的一种数据处理方法及服务器，在获得问题语句后，基于问题语句的句子成分确定问题语句所属的问句类别，并在问题语句属于预定问句类别的情况下，对问题语句进行依存句法分析，得到问题语句的各组成元素间的依存信息，进而基于问题语句的各组成元素间的依存信息以及所述问题语句的句子成分，对问题语句进行结构化解析，得到问题语句的结构化信息。通过利用问题语句的各组成元素间的依存信息以及问题语句的句子成分，对问题语句进行结构化解析，可达到较好的解析效果，进而可基于解析结果准确地识别用户问句意图。,"A data processing method and a server are disclosed. After the problem statement is obtained, based on the sentence components of the problem statement, the question category to which the problem statement belongs is determined, and if the question statement falls into the predetermined question category, Dependency syntactic analysis is carried out on the problem statement to obtain dependency information among the constituent elements of the problem statement, and then structural analysis is carried out on the problem statement based on the dependency information among the constituent elements of the problem statement and sentence components of the problem statement to obtain structural information of the problem statement. By using the dependency information among the constituent elements of the question statement and the sentence components of the question statement, the problem statement can be structurally parsed, and the user's question intention can be accurately identified based on the parsing results.",自然语言处理与知识图谱
